
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  33.26  28.35  41.63  25.14  41.67  23.47  36.56  34.86  40.87 -10.89
197502  10.18  11.88   7.15   9.92   8.52   6.01  19.80  14.24   9.08  49.35
197503   5.78  -2.64   7.64  -2.08   4.46   9.94   1.57  -3.02   5.49  16.85
197504  14.87  24.92  11.05  24.98  10.23  31.32  18.60  23.16   8.93  37.40
197505  -0.98  -7.08  -0.02  -4.64  -1.19  -2.11  -3.63  -4.44  -1.03  41.54
197506   1.72  -0.09   4.69  -2.83   3.70   0.32  -1.43   2.05   3.85  -2.79
197507  -6.14  -9.43  -7.60  -8.24  -7.59   0.86  -4.60 -10.77  -7.39 -14.42
197508  -2.24  -6.75  -2.02  -6.06  -1.77  -4.38  -4.23  -4.82  -2.07   3.94
197509   1.12   4.14   1.23   2.44   1.19  -3.07  -0.77   3.72   1.15  10.51
197510   4.34   1.97   6.20   1.92   4.19  11.99   4.29   0.70   4.01  -3.18
197511   1.92   2.34   4.62  -3.41   3.07   4.02   1.74  -0.36   2.58  12.42
197512  12.70  18.95  12.02  13.14  14.09  12.97  16.33  12.49  13.86  23.95
197601  21.06  28.70  18.32  29.21  20.31  29.78  18.51  30.70  19.31  22.77
197602   7.71   4.83   6.02   6.76   9.36   5.92   6.83   3.45   7.14   6.59
197603   2.46  10.18   1.32  12.00  -0.83  15.28  -0.58  -6.62   2.40  18.09
197604  -6.23  -6.69  -4.99 -10.78  -5.28 -10.30  -5.14  -6.43  -5.18  -6.52
197605  -4.67  -0.75  -6.36  -3.10  -4.51  -2.97  -5.86  -5.12  -6.28   1.34
197606   2.11   3.25   1.88   8.14   0.39   8.46   0.04   4.97   2.13   3.21
197607  -1.71  -0.08  -2.75   3.46  -2.32   5.59  -2.83   2.86  -2.67  -1.67
197608   2.94   4.29   1.99   2.05   3.51   2.35   2.85   1.00   3.14   3.67
197609  -0.64   1.31  -3.00   4.58   0.71   4.49  -2.35  -2.06  -1.81  -0.41
197610  -3.98  -4.07  -4.64  -1.84  -5.52  -2.99  -6.46   1.83  -5.69  -2.68
197611   5.63   3.89   5.13   8.02   5.90   7.99   4.07   6.85   4.87   3.08
197612  14.11  12.10  16.22  11.87  14.44  12.67  15.17  11.60  15.53  10.21
197701  -2.85  -2.68  -2.24  -1.71  -3.47  -1.12  -5.06  -1.66  -2.87  -4.28
197702  -1.52  -2.35  -0.25  -2.14  -1.78  -0.94  -3.03  -0.51  -1.03   1.70
197703  -2.33  -1.93  -3.44  -0.63  -2.93   0.31  -2.71  -0.33  -2.86  -2.37
197704   5.32   4.07   4.55   7.73   5.12   7.20   6.04   8.61   4.89   1.28
197705  -1.65   0.91  -0.62   1.50  -0.99  -0.93  -3.33   2.25  -0.23  -0.02
197706   1.21  -0.13   2.14  -0.22   1.89  -1.53   0.46  -0.51   2.97   3.77
197707  -4.21  -6.07  -2.63  -6.25  -3.69  -4.14  -6.13  -5.72  -3.46  -4.84
197708   2.58   5.38   1.63   5.18   1.99   3.05   2.74   4.13   1.96   1.66
197709  -2.53  -3.88  -0.30  -5.77  -1.50  -5.41  -2.99  -4.81  -1.14  -5.31
197710   0.05  -3.38   1.92  -5.18   1.25  -3.41  -0.92  -2.86   1.71  -1.26
197711   1.03  -1.11   1.85  -0.66   2.20   0.27   1.54  -0.10   2.41   0.87
197712  -2.11  -4.10  -2.06  -4.81  -2.15  -2.96  -2.99  -3.48  -2.07   2.24
197801   1.49   4.65   0.09   3.21   1.24   1.27   3.03   2.96  -0.46   0.24
197802   2.06  -0.51   3.66   0.41   2.33  -0.07   1.82   0.16   3.54 -14.13
197803   9.05  13.96   6.91   5.61   7.62   3.12  12.50   5.96   6.96  -0.30
197804   1.23   5.96  -1.73   7.78   3.41   6.64  -1.64   5.74  -2.79   1.00
197805   2.16   4.94   3.01   4.27   1.44   4.57   2.34   4.39   2.48  27.66
197806  18.37  21.68  12.69  18.44  16.63  17.15  21.03  18.92  14.55  25.32
197807   5.28  11.05   4.55   7.80   7.04   8.23   5.58   6.38   7.39   1.33
197808  15.24  31.50   7.00  25.05  15.06  20.12  26.48  24.21   5.67  -3.86
197809  -6.06  -9.14  -4.77  -6.85  -7.88  -4.86 -10.01  -7.00  -4.46  22.23
197810   6.58   9.07   9.33   3.43   8.64   3.71   7.73   5.14  10.86  30.40
197811 -26.52 -31.32 -21.57 -29.41 -24.88 -24.12 -31.36 -28.83 -19.65   0.40
197812   0.30  -1.68   1.78   0.58   1.42   3.81  -3.23   0.89   3.20 -99.99
197901  11.10  10.01  10.91  12.16   9.94   9.37  10.49  10.48  10.57   5.88
197902  -3.91  -7.19  -2.11  -6.32  -1.89  -9.68  -4.10  -6.17  -0.90  -5.84
197903  -1.14   4.14  -2.62   2.67  -1.52   1.55   0.87   0.65  -0.89   4.95
197904  -0.39   6.76  -0.43   5.25  -0.87   6.97  -1.86   3.53  -1.15  -5.38
197905   3.43   5.38   1.82   5.71   2.24   3.27   3.95   6.09   2.73   0.24
197906  -4.16   1.29  -3.88   0.56  -4.88  -3.02  -5.95  -1.95  -4.35  -5.82
197907  11.44  13.79   7.20  11.20  12.05  10.80  17.34  11.11   9.65   9.87
197908  -1.35  -0.67  -0.14   1.05  -1.19  -0.29  -3.92   2.20   0.36  -0.25
197909  18.42  12.43  16.19  19.02  18.49  13.06  23.46  20.63  18.22   6.11
197910  -2.70  -7.45  -2.76  -3.95  -2.01  -7.64  -2.99  -3.06  -2.39   3.38
197911  14.37  15.65  11.27  15.89  16.04  12.58  21.16  15.51  14.78  16.07
197912  16.55  10.92  18.00   6.14  19.12   9.44  16.48   6.31  20.84 101.28
198001   6.41   8.72   6.00   4.70   7.36  -1.21   3.45   2.77   1.81 -99.99
198002  -1.31  -4.64   1.70  -7.06   0.33  -3.58  -1.34  -5.40  -1.38 -99.99
198003 -18.21 -24.33 -14.65 -17.75 -17.89 -14.43 -20.58 -15.23 -18.01 -99.99
198004  16.44  16.79  16.68   9.44  17.47  10.31  21.10  12.06  24.27 -99.99
198005   3.42   3.94   4.14   2.03   3.88   3.19   3.13   4.66   4.35 -99.99
198006  19.07  22.84  21.14   9.86  21.01   4.22  20.84  10.52  25.30 -99.99
198007  10.26   5.50   8.64  10.61   9.73   5.62   6.93   9.01  10.63 -99.99
